像素                 探测器方位 cosα        w 符号  
环外同侧 A(ρ=9)   同侧(最近) -1.0000      负       
环外同侧 A(ρ=9)   对侧(最远) 1.0000       正       
环外同侧 A(ρ=9)   +90°        0.5896       正       
环外同侧 A(ρ=9)   -90°        0.5896       正       
环外对侧 B(ρ=13)  同侧(最近) -1.0000      负       
环外对侧 B(ρ=13)  对侧(最远) 1.0000       正       
环外对侧 B(ρ=13)  +90°        0.4511       正       
环外对侧 B(ρ=13)  -90°        0.4511       正       
环外远端 C(ρ=17)  同侧(最近) -1.0000      负       
环外远端 C(ρ=17)  对侧(最远) 1.0000       正       
环外远端 C(ρ=17)  +90°        0.3605       正       
环外远端 C(ρ=17)  -90°        0.3605       正       
