case,block,zpMode,gridMm,runKind,runIndex,exitCode,avg_process_us,wallTotalMs,startedAt
block40_off,40,0,0.4,formal,1,0,9087.8,930.9,2026-09-20T17:21:28.886Z
block40_off,40,0,0.4,formal,2,0,9120.7,958.6,2026-09-20T17:21:35.817Z
block40_off,40,0,0.4,formal,3,0,8796,874.8,2026-09-20T17:21:42.798Z
block40_hp,40,1,0.4,formal,1,0,59129.6,3567.4,2026-09-20T17:21:59.053Z
block40_hp,40,1,0.4,formal,2,0,58548.7,3514.5,2026-09-20T17:22:08.575Z
block40_hp,40,1,0.4,formal,3,0,59998.2,3702.8,2026-09-20T17:22:18.048Z
block40_lp,40,2,0.4,formal,1,0,59736,3710.9,2026-09-20T17:22:37.473Z
block40_lp,40,2,0.4,formal,2,0,58275.6,3479.8,2026-09-20T17:22:47.156Z
block40_lp,40,2,0.4,formal,3,0,61027,3804.7,2026-09-20T17:22:56.562Z
block40_hplp,40,3,0.4,formal,1,0,105235.6,5878.7,2026-09-20T17:23:18.598Z
block40_hplp,40,3,0.4,formal,2,0,105131.9,5833.5,2026-09-20T17:23:30.440Z
block40_hplp,40,3,0.4,formal,3,0,106676.4,5994.2,2026-09-20T17:23:42.213Z
block100_hplp,100,3,0.4,formal,1,0,262783,5519.9,2026-09-20T17:24:05.642Z
block100_hplp,100,3,0.4,formal,2,0,263907.7,5508.7,2026-09-20T17:24:17.152Z
block100_hplp,100,3,0.4,formal,3,0,263308.6,5510.7,2026-09-20T17:24:28.613Z
deploy_grid_hplp,40,3,0.01,formal,1,0,197313.1,19621.6,2026-09-20T17:25:05.722Z
deploy_grid_hplp,40,3,0.01,formal,2,0,196607.7,19507.8,2026-09-20T17:25:31.502Z
deploy_grid_hplp,40,3,0.01,formal,3,0,197428.5,19524.4,2026-09-20T17:25:57.176Z
deploy_grid_off,40,0,0.01,formal,1,0,102378.2,17808.9,2026-09-20T17:26:43.785Z
deploy_grid_off,40,0,0.01,formal,2,0,97752.9,16656.6,2026-09-20T17:27:07.877Z
deploy_grid_off,40,0,0.01,formal,3,0,97989.2,16008.6,2026-09-20T17:27:30.828Z
MEDIAN:block40_off,,,,,,3,9.09,,
MEDIAN:block40_hp,,,,,,3,59.13,,
MEDIAN:block40_lp,,,,,,3,59.74,,
MEDIAN:block40_hplp,,,,,,3,105.24,,
MEDIAN:block100_hplp,,,,,,3,263.31,,
MEDIAN:deploy_grid_hplp,,,,,,3,197.31,,
MEDIAN:deploy_grid_off,,,,,,3,97.99,,
